x,y,theta,speed,xref,yref
-0.001042, -0.162741, 0.000000, 0.728000, -0.001019, -0.163160
-0.001065, -0.162323, 0.000000, 0.789000, -0.001042, -0.162741
-0.001089, -0.161905, 0.000000, 0.837000, -0.001065, -0.162323
-0.001113, -0.161487, 0.000000, 0.604000, -0.001089, -0.161905
-0.001137, -0.161069, 0.000000, 0.805000, -0.001113, -0.161487
-0.001162, -0.160651, 0.000000, 0.735000, -0.001138, -0.161069
-0.001187, -0.160233, 0.000000, 0.742000, -0.001162, -0.160651
-0.001212, -0.159815, 0.000000, 0.706000, -0.001187, -0.160233
-0.001237, -0.159397, -0.000000, 0.833000, -0.001212, -0.159815
-0.001263, -0.158979, -0.000000, 0.664000, -0.001238, -0.159397
-0.001289, -0.158561, -0.000000, 0.786000, -0.001263, -0.158979
-0.001315, -0.158143, -0.000000, 0.832000, -0.001289, -0.158561
-0.001342, -0.157725, 0.000000, 0.569000, -0.001315, -0.158143
-0.001368, -0.157307, 0.000000, 0.762000, -0.001342, -0.157725
-0.001395, -0.156889, 0.000000, 0.580000, -0.001368, -0.157307
-0.001422, -0.156471, 0.000000, 0.775000, -0.001395, -0.156889
-0.001450, -0.156053, 0.000000, 0.718000, -0.001422, -0.156471
-0.001478, -0.155635, 0.000000, 0.655000, -0.001450, -0.156053
-0.001506, -0.155217, 0.000000, 0.583000, -0.001478, -0.155635
-0.001534, -0.154800, 0.000000, 0.729000, -0.001506, -0.155217
-0.001562, -0.154382, -0.000000, 0.678000, -0.001534, -0.154800
-0.001591, -0.153964, -0.000000, 0.808000, -0.001562, -0.154382
-0.001620, -0.153546, -0.000000, 0.721000, -0.001591, -0.153964
-0.001649, -0.153129, 0.000000, 0.708000, -0.001620, -0.153546
-0.001679, -0.152711, -0.000000, 0.764000, -0.001650, -0.153129
-0.001709, -0.152293, 0.000000, 0.752000, -0.001679, -0.152711
-0.001739, -0.151875, 0.000000, 0.831000, -0.001709, -0.152293
-0.001769, -0.151458, 0.000000, 0.906000, -0.001739, -0.151875
-0.001800, -0.151040, 0.000000, 0.830000, -0.001769, -0.151458
-0.001831, -0.150623, -0.000000, 0.624000, -0.001800, -0.151040
-0.001862, -0.150205, 0.000000, 0.718000, -0.001831, -0.150623
-0.001893, -0.149787, -0.000000, 0.873000, -0.001862, -0.150205
-0.001925, -0.149370, -0.000000, 0.808000, -0.001893, -0.149787
-0.001957, -0.148952, -0.000000, 0.678000, -0.001925, -0.149370
-0.001989, -0.148535, -0.000000, 0.747000, -0.001957, -0.148952
-0.002022, -0.148117, -0.000000, 0.666000, -0.001989, -0.148535
-0.002054, -0.147700, -0.000000, 0.755000, -0.002022, -0.148117
-0.002087, -0.147282, 0.000000, 0.813000, -0.002054, -0.147700
-0.002120, -0.146865, 0.000000, 0.587000, -0.002087, -0.147282
-0.002154, -0.146448, 0.000000, 0.680000, -0.002121, -0.146865
-0.002188, -0.146030, 0.000000, 0.745000, -0.002154, -0.146448
-0.002222, -0.145613, -0.000000, 0.746000, -0.002188, -0.146030
-0.002256, -0.145196, -0.000000, 0.640000, -0.002222, -0.145613
-0.002291, -0.144778, 0.000000, 0.606000, -0.002256, -0.145196
-0.002325, -0.144361, -0.000000, 0.616000, -0.002291, -0.144778
-0.002360, -0.143944, -0.000000, 0.810000, -0.002326, -0.144361
-0.002396, -0.143527, 0.000000, 0.700000, -0.002361, -0.143944
-0.002431, -0.143109, -0.000000, 0.727000, -0.002396, -0.143527
-0.002467, -0.142692, -0.000000, 0.633000, -0.002432, -0.143109
-0.002503, -0.142275, 0.000000, 0.751000, -0.002467, -0.142692
-0.002540, -0.141858, -0.000000, 0.798000, -0.002503, -0.142275
-0.002576, -0.141441, -0.000000, 0.779000, -0.002540, -0.141858
-0.002613, -0.141024, 0.000000, 0.639000, -0.002576, -0.141441
-0.002650, -0.140607, -0.000000, 0.648000, -0.002613, -0.141024
-0.002688, -0.140190, 0.000000, 0.820000, -0.002651, -0.140607
-0.002726, -0.139773, 0.000000, 0.782000, -0.002688, -0.140190
-0.002763, -0.139356, 0.000000, 0.750000, -0.002726, -0.139773
-0.002802, -0.138939, 0.000000, 0.712000, -0.002764, -0.139356
-0.002840, -0.138522, 0.000000, 0.670000, -0.002802, -0.138939
-0.002879, -0.138105, 0.000000, 0.728000, -0.002840, -0.138522
-0.002918, -0.137688, 0.000000, 0.611000, -0.002879, -0.138105
-0.002957, -0.137271, 0.000000, 0.646000, -0.002918, -0.137688
-0.002997, -0.136855, -0.000000, 0.802000, -0.002957, -0.137271
-0.003036, -0.136438, -0.000000, 0.728000, -0.002997, -0.136855
-0.003076, -0.136021, 0.000000, 0.724000, -0.003037, -0.136438
-0.003117, -0.135604, -0.000000, 0.821000, -0.003077, -0.136021
-0.003157, -0.135188, -0.000000, 0.777000, -0.003117, -0.135604
-0.003198, -0.134771, -0.000000, 0.715000, -0.003157, -0.135188
-0.003239, -0.134354, -0.000000, 0.710000, -0.003198, -0.134771
-0.003281, -0.133938, 0.000000, 0.752000, -0.003239, -0.134354
-0.003322, -0.133521, 0.000000, 0.716000, -0.003281, -0.133938
-0.003364, -0.133105, 0.000000, 0.813000, -0.003322, -0.133521
-0.003406, -0.132688, 0.000000, 0.690000, -0.003364, -0.133105
-0.003448, -0.132272, 0.000000, 0.719000, -0.003406, -0.132688
-0.003491, -0.131855, 0.000000, 0.759000, -0.003449, -0.132272
-0.003534, -0.131439, 0.000000, 0.725000, -0.003491, -0.131855
-0.003577, -0.131022, 0.000000, 0.753000, -0.003534, -0.131439
-0.003621, -0.130606, 0.000000, 0.702000, -0.003577, -0.131022
-0.003664, -0.130190, 0.000000, 0.652000, -0.003621, -0.130606
-0.003708, -0.129773, 0.000000, 0.692000, -0.003664, -0.130190
-0.003752, -0.129357, 0.000000, 0.737000, -0.003708, -0.129773
-0.003797, -0.128941, 0.000000, 0.738000, -0.003753, -0.129357
-0.003842, -0.128525, -0.000000, 0.665000, -0.003797, -0.128941
-0.003887, -0.128108, -0.000000, 0.720000, -0.003842, -0.128525
-0.003932, -0.127692, -0.000000, 0.843000, -0.003887, -0.128108
-0.003977, -0.127276, -0.000000, 0.882000, -0.003932, -0.127692
-0.004023, -0.126860, -0.000000, 0.763000, -0.003978, -0.127276
-0.004069, -0.126444, -0.000000, 0.882000, -0.004023, -0.126860
-0.004116, -0.126028, 0.000000, 0.984000, -0.004069, -0.126444
-0.004162, -0.125612, 0.000000, 0.647000, -0.004116, -0.126028
-0.004209, -0.125196, 0.000000, 0.828000, -0.004162, -0.125612
-0.004256, -0.124780, 0.000000, 0.644000, -0.004209, -0.125196
-0.004303, -0.124364, 0.000000, 0.578000, -0.004256, -0.124780
-0.004351, -0.123948, 0.000000, 0.637000, -0.004303, -0.124364
-0.004399, -0.123532, 0.000000, 0.745000, -0.004351, -0.123948
-0.004447, -0.123117, -0.000000, 0.820000, -0.004399, -0.123532
-0.004495, -0.122701, -0.000000, 0.708000, -0.004447, -0.123117
-0.004544, -0.122285, -0.000000, 0.799000, -0.004495, -0.122701
-0.004593, -0.121869, -0.000000, 0.671000, -0.004544, -0.122285
-0.004642, -0.121454, -0.000000, 0.855000, -0.004593, -0.121869
-0.004691, -0.121038, -0.000000, 0.764000, -0.004642, -0.121454
-0.004741, -0.120623, 0.000000, 0.809000, -0.004692, -0.121038
-0.004791, -0.120207, 0.000000, 0.629000, -0.004741, -0.120623
-0.004841, -0.119791, -0.000000, 0.684000, -0.004791, -0.120207
-0.004892, -0.119376, -0.000000, 0.772000, -0.004841, -0.119792
-0.004942, -0.118961, 0.000000, 0.918000, -0.004892, -0.119376
-0.004993, -0.118545, -0.000000, 0.826000, -0.004943, -0.118961
-0.005045, -0.118130, -0.000000, 0.716000, -0.004993, -0.118545
-0.005096, -0.117714, 0.000000, 0.585000, -0.005045, -0.118130
-0.005148, -0.117299, 0.000000, 0.759000, -0.005096, -0.117714
-0.005200, -0.116884, 0.000000, 0.815000, -0.005148, -0.117299
-0.005252, -0.116469, 0.000000, 0.706000, -0.005200, -0.116884
-0.005305, -0.116053, 0.000000, 0.648000, -0.005252, -0.116469
-0.005357, -0.115638, 0.000000, 0.793000, -0.005305, -0.116053
-0.005411, -0.115223, -0.000000, 0.768000, -0.005358, -0.115638
-0.005464, -0.114808, 0.000000, 0.667000, -0.005411, -0.115223
-0.005517, -0.114393, -0.000000, 0.803000, -0.005464, -0.114808
-0.005571, -0.113978, 0.000000, 0.769000, -0.005518, -0.114393
-0.005625, -0.113563, 0.000000, 0.726000, -0.005571, -0.113978
-0.005680, -0.113148, 0.000000, 0.781000, -0.005625, -0.113563
-0.005734, -0.112733, -0.000000, 0.664000, -0.005680, -0.113148
-0.005789, -0.112318, -0.000000, 0.721000, -0.005734, -0.112733
-0.005844, -0.111903, -0.000000, 0.824000, -0.005789, -0.112318
-0.005900, -0.111489, 0.000000, 0.737000, -0.005844, -0.111903
-0.005955, -0.111074, 0.000000, 0.750000, -0.005900, -0.111489
-0.006011, -0.110659, 0.000000, 0.805000, -0.005956, -0.111074
-0.006067, -0.110245, -0.000000, 0.718000, -0.006011, -0.110659
-0.006124, -0.109830, 0.000000, 0.752000, -0.006068, -0.110245
-0.006181, -0.109415, 0.000000, 0.810000, -0.006124, -0.109830
-0.006238, -0.109001, 0.000000, 0.764000, -0.006181, -0.109415
-0.006295, -0.108586, 0.000000, 0.701000, -0.006238, -0.109001
-0.006352, -0.108172, 0.000000, 1.018000, -0.006295, -0.108586
-0.006410, -0.107757, 0.000000, 0.615000, -0.006352, -0.108172
-0.006468, -0.107343, 0.000000, 0.852000, -0.006410, -0.107757
-0.006526, -0.106929, 0.000000, 0.706000, -0.006468, -0.107343
-0.006585, -0.106514, 0.000000, 0.758000, -0.006526, -0.106929
-0.006643, -0.106100, 0.000000, 0.756000, -0.006585, -0.106514
-0.006702, -0.105686, 0.000000, 0.752000, -0.006644, -0.106100
-0.006762, -0.105272, 0.000000, 0.751000, -0.006703, -0.105686
-0.006821, -0.104857, -0.000000, 0.663000, -0.006762, -0.105272
-0.006881, -0.104443, -0.000000, 0.663000, -0.006821, -0.104857
-0.006941, -0.104029, -0.000000, 0.764000, -0.006881, -0.104443
-0.007001, -0.103615, 0.000000, 0.636000, -0.006941, -0.104029
-0.007062, -0.103201, 0.000000, 0.728000, -0.007002, -0.103615
-0.007123, -0.102787, -0.000000, 0.717000, -0.007062, -0.103201
-0.007184, -0.102373, 0.000000, 0.644000, -0.007123, -0.102787
-0.007245, -0.101960, -0.000000, 0.713000, -0.007184, -0.102373
-0.007307, -0.101546, -0.000000, 0.724000, -0.007245, -0.101960
-0.007369, -0.101132, 0.000000, 0.794000, -0.007307, -0.101546
-0.007431, -0.100718, 0.000000, 0.746000, -0.007369, -0.101132
-0.007493, -0.100305, 0.000000, 0.696000, -0.007431, -0.100718
-0.007556, -0.099891, 0.000000, 0.643000, -0.007493, -0.100305
-0.007619, -0.099477, 0.000000, 0.690000, -0.007556, -0.099891
-0.007682, -0.099064, 0.000000, 0.770000, -0.007619, -0.099477
-0.007745, -0.098650, 0.000000, 0.736000, -0.007682, -0.099064
-0.007809, -0.098237, 0.000000, 0.623000, -0.007745, -0.098650
-0.007873, -0.097823, -0.000000, 0.634000, -0.007809, -0.098237
-0.007937, -0.097410, 0.000000, 0.702000, -0.007873, -0.097823
-0.008002, -0.096997, -0.000000, 0.737000, -0.007937, -0.097410
-0.008066, -0.096583, 0.000000, 0.731000, -0.008002, -0.096997
-0.008131, -0.096170, 0.000000, 0.816000, -0.008066, -0.096583
-0.008196, -0.095757, 0.000000, 0.656000, -0.008131, -0.096170
-0.008262, -0.095344, 0.000000, 0.729000, -0.008197, -0.095757
-0.008328, -0.094931, 0.000000, 0.704000, -0.008262, -0.095344
-0.008394, -0.094518, -0.000000, 0.602000, -0.008328, -0.094931
-0.008460, -0.094105, 0.000000, 0.591000, -0.008394, -0.094518
-0.008526, -0.093692, -0.000000, 0.736000, -0.008460, -0.094105
-0.008593, -0.093279, -0.000000, 0.702000, -0.008527, -0.093692
-0.008660, -0.092866, -0.000000, 0.759000, -0.008593, -0.093279
-0.008727, -0.092453, -0.000000, 0.664000, -0.008660, -0.092866
-0.008795, -0.092040, -0.000000, 0.745000, -0.008728, -0.092453
-0.008863, -0.091628, 0.000000, 0.649000, -0.008795, -0.092040
-0.008931, -0.091215, 0.000000, 0.784000, -0.008863, -0.091628
-0.008999, -0.090802, 0.000000, 0.762000, -0.008931, -0.091215
-0.009068, -0.090390, 0.000000, 0.618000, -0.008999, -0.090802
-0.009137, -0.089977, 0.000000, 0.585000, -0.009068, -0.090390
-0.009206, -0.089565, 0.000000, 0.755000, -0.009137, -0.089977
-0.009275, -0.089152, 0.000000, 0.736000, -0.009206, -0.089565
-0.009345, -0.088740, 0.000000, 0.855000, -0.009275, -0.089152
-0.009414, -0.088327, 0.000000, 0.732000, -0.009345, -0.088740
-0.009485, -0.087915, 0.000000, 0.829000, -0.009415, -0.088328
-0.009555, -0.087503, 0.000000, 0.746000, -0.009485, -0.087915
-0.009626, -0.087091, -0.000000, 0.726000, -0.009555, -0.087503
-0.009696, -0.086679, 0.000000, 0.720000, -0.009626, -0.087091
-0.009768, -0.086266, -0.000000, 0.710000, -0.009697, -0.086679
-0.009839, -0.085854, -0.000000, 0.749000, -0.009768, -0.086267
-0.009911, -0.085442, -0.000000, 0.734000, -0.009839, -0.085854
-0.009983, -0.085030, -0.000000, 0.747000, -0.009911, -0.085442
